clock,power,cell area,arrival time
"['8.0', '6.2346', '100']","['8.0', '6.2346', '100']",['293352.967222'],['8.84']
"['8.1', '6.2346', '100']","['8.1', '6.2346', '100']",['293352.967222'],['8.84']
"['8.2', '6.2346', '100']","['8.2', '6.2346', '100']",['293352.967222'],['8.84']
"['8.3', '6.2346', '100']","['8.3', '6.2346', '100']",['293352.967222'],['8.84']
"['8.4', '6.2346', '100']","['8.4', '6.2346', '100']",['293352.967222'],['8.84']
"['8.5', '6.2346', '100']","['8.5', '6.2346', '100']",['293352.967222'],['8.84']
"['8.6', '6.2346', '100']","['8.6', '6.2346', '100']",['293352.967222'],['8.84']
"['8.7', '6.2346', '100']","['8.7', '6.2346', '100']",['293352.967222'],['8.84']
"['8.8', '6.2346', '100']","['8.8', '6.2346', '100']",['293352.967222'],['8.84']
"['8.9', '6.2346', '100']","['8.9', '6.2346', '100']",['293352.967222'],['8.84']
"['9.0', '6.2346', '100']","['9.0', '6.2346', '100']",['293352.967222'],['8.84']
"['9.1', '6.2346', '100']","['9.1', '6.2346', '100']",['293352.967222'],['8.84']
"['9.2', '6.2346', '100']","['9.2', '6.2346', '100']",['293352.967222'],['8.84']
"['9.3', '6.2346', '100']","['9.3', '6.2346', '100']",['293352.967222'],['8.84']
"['9.4', '6.2346', '100']","['9.4', '6.2346', '100']",['293352.967222'],['8.84']
"['9.5', '6.2346', '100']","['9.5', '6.2346', '100']",['293352.967222'],['8.84']
"['9.6', '6.2346', '100']","['9.6', '6.2346', '100']",['293352.967222'],['8.84']
"['9.7', '6.2346', '100']","['9.7', '6.2346', '100']",['293352.967222'],['8.84']
"['9.8', '6.2346', '100']","['9.8', '6.2346', '100']",['293352.967222'],['8.84']
"['9.9', '6.2346', '100']","['9.9', '6.2346', '100']",['293352.967222'],['8.84']
"['10.0', '6.2346', '100']","['10.0', '6.2346', '100']",['293352.967222'],['8.84']
